START EXPERIMENT
data_type : direct
lr_slice_patch : 4
traindata_path : /home/konata/Dataset/IXI-T2/I3Net/slice
testdata_path : /home/konata/Dataset/IXI-T2/I3Net/imagesTs
model : unet(mamba+dwconv+wave)
upscale : 2
resume : False
ckpt : 
optim : Adam
lr : 0.0003
wd : 0.0001
beta1 : 0.9
beta2 : 0.999
eps : 1e-08
flood : False
schedule : cos_lr
lr_decay : 400
gamma : 0.5
batch_size : 4
one_batch_n_sample : 1
start_epoch : 0
max_epoch : 500
warmup_epoch : 0.05
ckpt_dir : experiments/unet(mamba+dwconv+wave)/IXI_x2
gpu_id : 0
num_workers : 4
parallel : True
local_rank : 0
amp : True
cuda : True
hr_slice_patch : 7
kernel_size : 3
n_feats : 64
num_blocks : 16
res_scale : 1
head_num : 1
window_size : 16
win_num_sqrt : 16

2025-07-02 02:14:10.859701epoch[44/500] psnrTr:nan lossTr:nan lr:0.000295326521
2025-07-02 02:14:41.475473epoch[45/500] psnrTr:nan lossTr:nan lr:0.000295102697
2025-07-02 02:15:12.797728epoch[46/500] psnrTr:nan lossTr:nan lr:0.000294873736
2025-07-02 02:15:43.473755epoch[47/500] psnrTr:nan lossTr:nan lr:0.000294639648
2025-07-02 02:16:14.209606epoch[48/500] psnrTr:nan lossTr:nan lr:0.000294400442
2025-07-02 02:16:45.593746epoch[49/500] psnrTr:nan lossTr:nan lr:0.000294156127
2025-07-02 02:17:16.760671epoch[50/500] psnrTr:nan lossTr:nan lr:0.000293906714
2025-07-02 02:18:24.131495epoch[51/500] psnrTr:nan lossTr:nan lr:0.000293652211
2025-07-02 02:18:55.104252epoch[52/500] psnrTr:nan lossTr:nan lr:0.000293392630
2025-07-02 02:19:26.121542epoch[53/500] psnrTr:nan lossTr:nan lr:0.000293127980
2025-07-02 02:19:56.571660epoch[54/500] psnrTr:nan lossTr:nan lr:0.000292858271
2025-07-02 02:20:27.392711epoch[55/500] psnrTr:nan lossTr:nan lr:0.000292583515
2025-07-02 02:20:58.100920epoch[56/500] psnrTr:nan lossTr:nan lr:0.000292303722
2025-07-02 02:21:28.817893epoch[57/500] psnrTr:nan lossTr:nan lr:0.000292018904
2025-07-02 02:22:00.382248epoch[58/500] psnrTr:nan lossTr:nan lr:0.000291729071
2025-07-02 02:22:30.856978epoch[59/500] psnrTr:nan lossTr:nan lr:0.000291434235
2025-07-02 02:23:01.402197epoch[60/500] psnrTr:nan lossTr:nan lr:0.000291134407
2025-07-02 02:23:32.939293epoch[61/500] psnrTr:nan lossTr:nan lr:0.000290829600
2025-07-02 02:24:03.775241epoch[62/500] psnrTr:nan lossTr:nan lr:0.000290519826
2025-07-02 02:24:35.483759epoch[63/500] psnrTr:nan lossTr:nan lr:0.000290205096
2025-07-02 02:25:06.686638epoch[64/500] psnrTr:nan lossTr:nan lr:0.000289885423
2025-07-02 02:25:37.583882epoch[65/500] psnrTr:nan lossTr:nan lr:0.000289560820
2025-07-02 02:26:08.362752epoch[66/500] psnrTr:nan lossTr:nan lr:0.000289231299
2025-07-02 02:26:39.211155epoch[67/500] psnrTr:nan lossTr:nan lr:0.000288896874
2025-07-02 02:27:10.116624epoch[68/500] psnrTr:nan lossTr:nan lr:0.000288557558
2025-07-02 02:27:41.337234epoch[69/500] psnrTr:nan lossTr:nan lr:0.000288213364
2025-07-02 02:28:12.869276epoch[70/500] psnrTr:nan lossTr:nan lr:0.000287864306
2025-07-02 02:28:43.915742epoch[71/500] psnrTr:nan lossTr:nan lr:0.000287510397
2025-07-02 02:29:14.515184epoch[72/500] psnrTr:nan lossTr:nan lr:0.000287151652
2025-07-02 02:29:45.473807epoch[73/500] psnrTr:nan lossTr:nan lr:0.000286788085
2025-07-02 02:30:16.250288epoch[74/500] psnrTr:nan lossTr:nan lr:0.000286419709
2025-07-02 02:30:47.257760epoch[75/500] psnrTr:nan lossTr:nan lr:0.000286046540
2025-07-02 02:31:18.226037epoch[76/500] psnrTr:nan lossTr:nan lr:0.000285668592
2025-07-02 02:31:49.382993epoch[77/500] psnrTr:nan lossTr:nan lr:0.000285285881
2025-07-02 02:32:20.215566epoch[78/500] psnrTr:nan lossTr:nan lr:0.000284898421
2025-07-02 02:32:51.481058epoch[79/500] psnrTr:nan lossTr:nan lr:0.000284506227
2025-07-02 02:33:22.498032epoch[80/500] psnrTr:nan lossTr:nan lr:0.000284109316
